 13.535,   0.824,   0.566,   0.034
 13.694,   0.904,   0.429,   0.028
 13.854,   0.960,   0.280,   0.019
 14.013,   0.992,   0.124,   0.009
 14.172,   0.999,  -0.035,  -0.002
 14.331,   0.981,  -0.193,  -0.013
 14.490,   0.938,  -0.346,  -0.022
 14.650,   0.872,  -0.490,  -0.029
 14.809,   0.783,  -0.622,  -0.033
 14.968,   0.674,  -0.739,  -0.033
 15.127,   0.549,  -0.836,  -0.030
 15.287,   0.409,  -0.913,  -0.024
 15.446,   0.259,  -0.966,  -0.016
 15.605,   0.103,  -0.995,  -0.007
 15.764,  -0.056,  -0.998,   0.004
 15.924,  -0.214,  -0.977,   0.013
 16.083,  -0.366,  -0.931,   0.021
 16.242,  -0.509,  -0.861,   0.027
 16.401,  -0.639,  -0.769,   0.030
 16.561,  -0.753,  -0.658,   0.030
 16.720,  -0.848,  -0.530,   0.027
 16.879,  -0.921,  -0.389,   0.021
 17.038,  -0.971,  -0.238,   0.014
 17.197,  -0.997,  -0.081,   0.005
 17.357,  -0.997,   0.078,  -0.004
 17.516,  -0.972,   0.235,  -0.013
 17.675,  -0.922,   0.386,  -0.020
 17.834,  -0.850,   0.527,  -0.025
 17.994,  -0.755,   0.656,  -0.028
 18.153,  -0.642,   0.767,  -0.027
 18.312,  -0.512,   0.859,  -0.024
 18.471,  -0.369,   0.929,  -0.019
 18.631,  -0.217,   0.976,  -0.011
 18.790,  -0.060,   0.998,  -0.003
 18.949,   0.099,   0.995,   0.005
 19.108,   0.256,   0.967,   0.013
 19.268,   0.406,   0.914,   0.019
 19.427,   0.546,   0.838,   0.024
 19.586,   0.672,   0.741,   0.025
 19.745,   0.781,   0.625,   0.025
 19.904,   0.870,   0.493,   0.022
 20.064,   0.937,   0.349,   0.016
 20.223,   0.981,   0.196,   0.010
 20.382,   0.999,   0.038,   0.002
 20.541,   0.993,  -0.121,  -0.006
 20.701,   0.961,  -0.277,  -0.013
 20.860,   0.905,  -0.426,  -0.018
 21.019,   0.826,  -0.564,  -0.022
 21.178,   0.726,  -0.687,  -0.024
 21.338,   0.608,  -0.794,  -0.023
 21.497,   0.474,  -0.880,  -0.019
 21.656,   0.329,  -0.944,  -0.014
 21.815,   0.175,  -0.985,  -0.008
 21.975,   0.017,  -1.000,  -0.001
